Country,PopulationYoung_Percentage,PopulationOld_Percentage,PopulationDensity,PopulationMidYear,Population,PopulationMidYear_Females,PopulationMidYear_Males,SexRatio_MalesPer100Females
Other non-specified areas,13.2,21,669.1,23.69,23690000,11.88,11.81,99.4
Pakistan,34.7,6.8,260.5,200.81,200810000,97.67,103.15,105.6
Palau,,,47.7,0.02,20000,,,
Panama,27.1,11.7,56,4.16,4160000,2.08,2.09,100.4
Papua New Guinea,35.6,6.2,18.6,8.42,8420000,4.14,4.28,103.5
Paraguay,29.1,9.6,17.4,6.9,6900000,3.4,3.5,102.9
Peru,27.1,10.7,25.4,32.55,32550000,16.29,16.26,99.8
Philippines,31.5,7.8,357.2,106.51,106510000,52.93,53.58,101.2
Poland,14.9,24.6,124.4,38.1,38100000,19.7,18.4,93.4
Polynesia,29.5,10.6,85.5,0.69,690000,0.34,0.35,103.4
Portugal,13.4,28.3,112.4,10.29,10290000,5.42,4.87,89.9
Puerto Rico,17.6,20.8,412.5,3.66,3660000,1.9,1.76,92.6
Qatar,13.9,3.1,232.1,2.69,2690000,0.68,2.02,298.6
Republic of Korea,13.4,21.1,526.2,51.16,51160000,25.57,25.6,100.1
Republic of Moldova,15.8,18,123,4.04,4040000,2.1,1.94,92.1
Réunion,23.2,17,353.3,0.88,880000,0.46,0.43,93.9
Romania,15.2,25.3,85.1,19.58,19580000,10.1,9.49,94
Russian Federation,17.8,21.5,8.8,143.96,143960000,77.06,66.91,86.8
Rwanda,39.8,5,506.7,12.5,12500000,6.37,6.13,96.2
Saint Helena,,,10.4,0,0,,,
Saint Kitts and Nevis,,,214.8,0.06,60000,,,
Saint Lucia,18.5,14.1,294.5,0.18,180000,0.09,0.09,95.8
Saint Pierre and Miquelon,,,27.6,0.01,10000,,,
Saint Vincent & Grenadines,23.5,12.2,282.6,0.11,110000,0.05,0.06,101.7
Samoa,36.4,8.7,69.9,0.2,200000,0.1,0.1,106.6
San Marino,,,559.3,0.03,30000,,,
Sao Tome and Principe,42.4,4.4,217.5,0.21,210000,0.1,0.1,99.2
Saudi Arabia,24.9,5.8,15.6,33.55,33550000,14.34,19.21,134
Senegal,42.7,4.7,84.6,16.29,16290000,8.29,8.01,96.7
Serbia,16.3,24.8,100.2,8.76,8760000,4.48,4.28,95.6
Seychelles,22.4,13.8,207,0.1,100000,0.05,0.05,97.2
Sierra Leone,41.7,4.2,107,7.72,7720000,3.9,3.82,98.2
Singapore,14.7,20.4,8274.1,5.79,5790000,2.93,2.86,97.7
Sint Maarten (Dutch part),,,1192.7,0.04,40000,,,
Slovakia,15.5,22.3,113.3,5.45,5450000,2.8,2.65,94.6
Slovenia,15.1,26.8,103.3,2.08,2080000,1.05,1.03,98.7
Solomon Islands,38.5,5.5,22.3,0.62,620000,0.31,0.32,103.4
